# HI_OFFSET:1;2;3
# SI_DISTORTION:1;1;1
# SI_ROTATION:0;0;0
X;Y;Z
1.82903757;2.00000000;3.55919290
0.38813751;1.43948383;3.55807340
1.07261086;2.82736330;3.55695389
1.50579100;1.34028521;3.55583439
0.18067850;2.14492644;3.55471488
1.70266741;2.44697949;3.55359538
0.78361231;1.19504859;3.55247587
0.61547917;2.74037145;3.55135637
1.78434138;1.71355979;3.55023686
0.22748259;1.68111604;3.54911736
1.35453859;2.75762837;3.54799785
1.25056407;1.20116227;3.54687835
0.27500293;2.42015062;3.54575884
1.81910904;2.18007882;3.54463933
0.51723847;1.31332140;3.54351983
0.89203558;2.83315399;3.54240032
1.64294890;1.45812198;3.54128082
0.15915715;1.96522851;3.54016131
1.59703214;2.59412672;3.53904181
0.96106087;1.15790539;3.53792230
0.45942873;2.64778504;3.53680280
1.83687782;1.88739927;3.53568329
0.30626953;1.51732041;3.53456379
1.18564507;2.82521095;3.53344428
1.42088360;1.26550199;3.53232478
0.19283757;2.25750683;3.53120527
1.76975607;2.35564683;3.53008577
0.67237202;1.21714969;3.52896626
0.71253907;2.79921462;3.52784675
1.75244143;1.60453787;3.52672725
0.17737247;1.78315802;3.52560774
1.46047882;2.71615036;3.52448824
1.14432651;1.16020537;3.52336873
0.32576216;2.52216768;3.52224923
1.85056343;2.07046744;3.52112972
0.41995756;1.37299112;3.52001022
1.00417015;2.85483042;3.51889071
1.57481061;1.36635520;3.51777121
0.14745798;2.07901340;3.51665170
1.68254806;2.51802964;3.51553220
0.84651392;1.15630479;3.51441269
0.54291078;2.72636048;3.51329319
1.82833762;1.77298700;3.51217368
0.23527147;1.60755394;3.51105417
1.29902455;2.80656739;3.50993467
1.32458689;1.20266038;3.50881516
0.22146751;2.36896108;3.50769566
1.82392475;2.25402481;3.50657615
0.56372274;1.25557020;3.50545665
0.81870469;2.84426066;3.50433714
1.70450366;1.49955360;3.50321764
0.14182830;1.89304771;3.50209813
1.56096454;2.65904416;3.50097863
1.03156372;1.13446861;3.49985912
0.39161501;2.61735443;3.49873962
1.86626346;1.95570737;3.49762011
0.33083066;1.44709897;3.49650061
1.12003371;2.86034265;3.49538110
1.49300550;1.28400346;3.49426160
0.15220500;2.19507565;3.49314209
1.75746068;2.42914694;3.49202258
0.73116172;1.17130214;3.49090308
0.63819424;2.79322673;3.48978357
1.80317936;1.65925032;3.48866407
0.17699728;1.70850932;3.48754456
1.41025056;2.77141762;3.48642506
1.21873480;1.15345785;3.48530555
0.26636053;2.47679870;3.48418605
1.86364595;2.14409162;3.48306654
0.46012686;1.30988114;3.48194704
0.93186928;2.87416422;3.48082753
1.64117485;1.40102169;3.47970803
0.12200248;2.00856654;3.47858852
1.65364791;2.58716926;3.47746902
0.91458850;1.12490228;3.47634951
0.47149601;2.70344863;3.47523001
1.86546858;1.83818724;3.47411050
0.25201646;1.53438198;3.47299099
1.23718076;2.84916582;3.47187149
1.39898410;1.21310467;3.47075198
0.17370317;2.31093229;3.46963248
1.81986911;2.32910520;3.46851297
0.61750492;1.20298001;3.46739347
0.74348934;2.84663503;3.46627396
1.76154356;1.54868777;3.46515446
0.13302959;1.81824780;3.46403495
1.51684658;2.72012423;3.46291545
1.10539971;1.11929834;3.46179594
0.32693480;2.57858487;3.46067644
1.88770567;2.02803685;3.45955693
0.36395815;1.37928598;3.45843743
1.04974342;2.88791098;3.45731792
1.56345996;1.31123598;3.45619841
0.11870161;2.12734337;3.45507891
1.73633329;2.50173114;3.45395940
0.79583486;1.13209873;3.45283990
0.56400870;2.77837027;3.45172039
1.84780545;1.72038462;3.45060089
0.18546272;1.63326370;3.44948138
1.35310981;2.82114864;3.44836188
1.29449035;1.15545889;3.44724237
0.21188046;2.42407780;3.44612287
1.86813539;2.21980208;3.44500336
0.50803322;1.25104352;3.44388386
0.85675971;2.88512256;3.44276435
1.70394570;1.44375339;3.44164485
0.10464442;1.93461037;3.44052534
1.61641366;2.65341925;3.43940584
0.98684611;1.10126085;3.43828633
0.40224745;2.67199484;3.43716682
1.89523058;1.90821255;3.43604732
0.27744872;1.46263844;3.43492781
1.16990611;2.88484025;3.43380831
1.47269969;1.23231816;3.43268880
0.13236837;2.24690748;3.43156930
1.80702627;2.40425435;3.43044979
0.67780367;1.15627906;3.42933029
0.66745671;2.84026810;3.42821078
1.81327639;1.60481074;3.42709128
0.13286279;1.74188934;3.42597177
1.46531924;2.77651694;3.42485227
1.18152285;1.11258803;3.42373276
0.26628924;2.53203999;3.42261326
1.90092112;2.10336418;3.42149375
0.40516973;1.31482670;3.42037424
0.97576760;2.90754518;3.41925474
1.63126487;1.34680203;3.41813523
0.09278251;2.05526584;3.41701573
1.70668398;2.57238806;3.41589622
0.86548024;1.10007516;3.41477672
0.49101536;2.75486578;3.41365721
1.88570769;1.78708095;3.41253771
0.20263916;1.55846773;3.41141820
1.28985866;2.86466001;3.41029870
1.37054090;1.16617038;3.40917919
0.16307139;2.36474347;3.40805969
1.86397828;2.29654884;3.40694018
0.56300710;1.19728786;3.40582068
0.77988124;2.88756109;3.40470117
1.76225971;1.49395458;3.40358167
0.09561760;1.85816672;3.40246216
1.57136295;2.71586902;3.40134265
1.06229060;1.08570174;3.40022315
0.33611584;2.63243506;3.39910364
1.91721765;1.98209989;3.39798414
0.31121706;1.39330689;3.39686463
1.09812343;2.91310327;3.39574513
1.54472476;1.26003679;3.39462562
0.09802801;2.17776237;3.39350612
1.78557141;2.47844573;3.39238661
0.74379680;1.11610522;3.39126711
0.59164318;2.82524515;3.39014760
1.85899627;1.66715988;3.38902810
0.14133293;1.66501077;3.38790859
1.40708004;2.82745395;3.38678909
1.25890050;1.11443266;3.38566958
0.21050314;2.47834710;3.38455007
1.90572581;2.18067028;3.38343057
0.45391279;1.25459608;3.38231106
0.89910413;2.91897390;3.38119156
1.69550191;1.39022764;3.38007205
0.07480412;1.97981235;3.37895255
1.66890472;2.64016301;3.37783304
0.93916443;1.07567000;3.37671354
0.42019799;2.72302057;3.37559403
1.91636894;1.85844862;3.37447453
0.22830604;1.48512676;3.37335502
1.22133850;2.90136008;3.37223552
1.44586707;1.18545997;3.37111601
0.12059484;2.29958161;3.36999651
1.85121807;2.37330625;3.36887700
0.62432386;1.14934034;3.36775750
0.70225811;2.88143426;3.36663799
1.81533165;1.55096712;3.36551848
0.09505601;1.78025070;3.36439898
1.51908265;2.77368031;3.36327947
1.13992356;1.07844612;3.36215997
0.27398599;2.58528065;3.36104046
1.93112332;2.05887498;3.35992096
0.35288925;1.32731197;3.35880145
1.02277557;2.93356569;3.35768195
1.61410191;1.29591047;3.35656244
0.07115090;2.10440146;3.35544294
1.75577004;2.55069642;3.35432343
0.81462488;1.08300324;3.35320393
0.51704975;2.80174535;3.35208442
1.89808686;1.73492714;3.35096492
0.15834826;1.58862360;3.34984541
1.34287970;2.87225212;3.34872590
1.33651824;1.12482844;3.34760640
0.16032120;2.41819415;3.34648689
1.90203583;2.25894541;3.34536739
0.50956715;1.19939459;3.34424788
0.82075055;2.92202633;3.34312838
1.75532092;1.44096490;3.34200887
0.06502260;1.90196072;3.34088937
1.62346726;2.70416264;3.33976986
1.01593651;1.05922268;3.33865036
0.35248631;2.68322687;3.33753085
1.93936923;1.93357072;3.33641135
0.26215340;1.41419988;3.33529184
1.14842545;2.93075171;3.33417234
1.51948771;1.21310208;3.33305283
0.08502119;2.22942112;3.33193333
1.82999445;2.44907842;3.33081382
0.69120792;1.10784020;3.32969431
0.62489341;2.86679504;3.32857481
1.86245838;1.61407440;3.32745530
0.10299357;1.70186513;3.32633580
1.46022515;2.82609150;3.32521629
1.21874994;1.07961436;3.32409679
0.21667220;2.53111508;3.32297728
1.93674189;2.13755799;3.32185778
0.40195494;1.26551442;3.32073827
0.94481990;2.94593816;3.31961877
1.67993047;1.33950566;3.31849926
0.05210766;2.02775253;3.31737976
1.71797588;2.62007265;3.31626025
0.88939657;1.05742205;3.31514075
0.44463624;2.77004010;3.31402124
1.93002442;1.80726423;3.31290173
0.18372157;1.51370650;3.31178223
1.27351727;2.91031697;3.31066272
1.41338591;1.14367349;3.30954322
0.11640401;2.35232506;3.30842371
1.88986708;2.33719534;3.30730421
0.57144946;1.14994390;3.30618470
