# DISTRIBUTION_STYLE: random
# NOISE: 0.001
# POINT_AMOUNT: 2000
# ANGULAR_CONSTRAINT-DEG: 45
# HI-X-Y-Z-OFFSET: 1,2,3
# SI-X-Y-Z-DISTORTION: 4,5,6
# SI-X-Y-Z-ROTATION-DEG: 10,20,30
# IRON_ERROR_MATRIX_FORMAT-RAD:
# [3.25519073, -2.20484805, 2.27113384, 1.00000000]
# [1.87938524, 4.41282060, 0.10816987, 2.00000000]
# [-1.36808057, 0.81587956, 5.55249947, 3.00000000]
# [0.00000000, 0.00000000, 0.00000000, 1.00000000]
X;Y;Z
0.39041839;4.60005964;7.77720608
3.09290188;-1.31996243;6.78605662
1.91248667;5.46615282;7.13702874
-0.10868987;1.90266847;8.02333039
1.99305959;5.48290558;7.08895437
0.93078057;-0.21735790;7.62782788
5.39209056;1.53699990;5.76473930
-0.19847508;2.95719141;8.01966358
1.05321749;-0.36651628;7.57410929
3.02211960;-1.34866931;6.77646415
-0.20767629;2.49967425;8.02899743
5.31208579;0.60509472;5.79182765
-0.21459715;3.01798985;8.00257839
5.38363619;1.79696201;5.73913627
-0.08636440;3.78370060;7.93084628
-0.06625821;3.85929971;7.92211626
4.38044127;-0.95432155;6.18158549
0.27801062;4.57769119;7.75047745
3.75524694;-1.28476314;6.43812473
1.39197374;-0.73238986;7.39309516
0.43470826;0.34122962;7.75572564
0.34825847;4.70491182;7.69653815
0.01628900;4.16518233;7.83870400
0.28972973;4.64779246;7.71898921
5.28922693;0.43221018;5.74801996
3.78149686;-1.29181861;6.39594349
5.15298462;2.90230327;5.74686917
0.75329896;5.13333256;7.50231344
-0.28998160;2.57863699;7.97686332
2.02643931;5.56005121;6.95989695
2.69132353;-1.38024977;6.81531105
3.73546707;4.91958088;6.26874644
0.07993937;4.38225120;7.76782919
0.43660075;4.88924997;7.60370873
4.33655403;-1.03259934;6.11730333
0.96852806;-0.42999011;7.48028959
4.87745157;3.55611863;5.80914064
5.18727726;2.82649083;5.68243329
-0.33135184;2.50996402;7.94961290
-0.28219318;2.03748904;7.92355282
1.93314907;5.59456068;6.94707130
4.80901806;-0.59367619;5.88618312
3.67505901;-1.38166314;6.36402914
3.60308664;-1.40090653;6.39278432
4.96832207;3.37893316;5.72963856
3.29697019;-1.45531797;6.50696682
