# DISTRIBUTION_STYLE: optimal
# NOISE: 0
# POINT_AMOUNT: 1000
# ANGULAR_CONSTRAINT-DEG: 90
# HI-X-Y-Z-OFFSET: 0,0,0
# SI-X-Y-Z-DISTORTION: 1,1,1
# SI-X-Y-Z-ROTATION-DEG: 0,0,0
# IRON_ERROR_MATRIX_FORMAT-RAD:
# [1.00000000, 0.00000000, 0.00000000, 0.00000000]
# [0.00000000, 1.00000000, 0.00000000, 0.00000000]
# [0.00000000, 0.00000000, 1.00000000, 0.00000000]
# [0.00000000, 0.00000000, 0.00000000, 1.00000000]
X;Y;Z
0.00000000;0.00000000;1.00000000
-0.04663528;-0.04272174;0.99799800
0.00781567;0.08905555;0.99599600
0.06658429;-0.08684741;0.99399399
-0.12437008;0.02199932;0.99199199
0.11908559;0.07575250;0.98998999
-0.04011683;-0.14923262;0.98798799
-0.07689227;0.14805139;0.98598599
0.16744049;-0.06114900;0.98398398
-0.17467780;-0.07210446;0.98198198
0.08438607;0.18032812;0.97997998
0.06246297;-0.19914179;0.97797798
-0.18851063;0.10924576;0.97597598
0.22137321;0.04866828;0.97397397
-0.13521106;-0.19232383;0.97197197
-0.03125697;0.24120792;0.96996997
0.19198327;-0.16180370;0.96796797
-0.25844831;-0.01068765;0.96596597
0.18857191;0.18765423;0.96396396
-0.01261874;-0.27289183;0.96196196
-0.17948649;0.21508481;0.95995996
0.28434635;-0.03825840;0.95795796
-0.24093026;-0.16763300;0.95595596
0.06583411;0.29263924;0.95395395
0.15226036;-0.26571463;0.95195195
-0.29762326;0.09494994;0.94994995
0.28906369;0.13355476;0.94794795
-0.12520900;-0.29918050;0.94594595
-0.11172506;0.31062412;0.94394394
0.29722518;-0.15621322;0.94194194
-0.33006542;-0.08700419;0.93993994
0.18756423;0.29170547;0.93793794
0.05964926;-0.34708196;0.93593594
-0.28260483;0.21886507;0.93393393
0.36139510;0.02994085;0.93193193
-0.24972244;-0.26994264;0.92992993
0.00181842;0.37275522;0.92792793
0.25377449;-0.27974933;0.92592593
-0.38094368;0.03530577;0.92392392
0.30856781;0.23419197;0.92192192
-0.07018059;-0.38577458;0.91991992
-0.21132210;0.33581195;0.91791792
0.38709633;-0.10608706;0.91591592
-0.36113085;-0.18532639;0.91391391
0.14265707;0.38479296;0.91191191
0.15639953;-0.38419155;0.90990991
-0.37878515;0.17951335;0.90790791
0.40468196;0.12476777;0.90590591
-0.21627267;-0.36903098;0.90390390
-0.09068702;0.42231365;0.90190190
0.35552640;-0.25254930;0.89989990
-0.43682444;-0.05444059;0.89789790
0.28795840;0.33830534;0.89589590
0.01633672;-0.44798082;0.89389389
-0.31743952;0.32211955;0.89189189
0.45558025;-0.02329412;0.88988989
-0.35466022;-0.29303793;0.88788789
0.06410220;0.45945305;0.88588589
0.26524597;-0.38521923;0.88388388
-0.45946413;0.10572162;0.88188188
0.41345012;0.23424431;0.87987988
-0.14777366;-0.45551441;0.87787788
-0.20024737;0.43902442;0.87587588
0.44754194;-0.18987013;0.87387387
-0.46163479;-0.16350157;0.87187187
0.23161698;0.43552266;0.86986987
0.12428323;-0.48099796;0.86786787
-0.41947090;0.27261780;0.86586587
0.49685756;0.08289625;0.86386386
-0.31247755;-0.39943949;0.86186186
-0.03966946;0.50898660;0.85985986
0.37551957;-0.35080614;0.85785786
