X;Y;Z
-0.00001739;0.00000908;-0.00015443
-0.00001739;0.00000901;-0.00015432
-0.00001738;0.00000885;-0.00015435
-0.00001739;0.00000858;-0.00015442
-0.00001741;0.00000829;-0.00015432
-0.00001742;0.00000808;-0.00015430
-0.00001739;0.00000793;-0.00015440
-0.00001749;0.00000792;-0.00015443
-0.00001758;0.00000793;-0.00015442
-0.00001769;0.00000801;-0.00015455
-0.00001777;0.00000801;-0.00015463
-0.00001770;0.00000784;-0.00015456
-0.00001770;0.00000762;-0.00015459
-0.00001767;0.00000742;-0.00015468
-0.00001769;0.00000726;-0.00015468
-0.00001779;0.00000711;-0.00015467
-0.00001779;0.00000698;-0.00015479
-0.00001773;0.00000689;-0.00015481
-0.00001757;0.00000694;-0.00015470
-0.00001739;0.00000705;-0.00015470
-0.00001723;0.00000723;-0.00015481
-0.00001714;0.00000733;-0.00015477
-0.00001726;0.00000719;-0.00015479
-0.00001750;0.00000702;-0.00015501
-0.00001777;0.00000689;-0.00015514
-0.00001798;0.00000693;-0.00015517
-0.00001818;0.00000703;-0.00015531
-0.00001823;0.00000707;-0.00015542
-0.00001825;0.00000699;-0.00015538
-0.00001822;0.00000681;-0.00015539
-0.00001817;0.00000655;-0.00015547
-0.00001818;0.00000635;-0.00015547
-0.00001831;0.00000626;-0.00015549
-0.00001845;0.00000621;-0.00015562
-0.00001862;0.00000623;-0.00015573
-0.00001870;0.00000622;-0.00015569
-0.00001883;0.00000618;-0.00015577
-0.00001894;0.00000614;-0.00015593
-0.00001909;0.00000611;-0.00015597
-0.00001921;0.00000609;-0.00015597
-0.00001919;0.00000614;-0.00015602
-0.00001917;0.00000618;-0.00015595
-0.00001907;0.00000605;-0.00015586
-0.00001911;0.00000582;-0.00015595
-0.00001923;0.00000561;-0.00015606
-0.00001939;0.00000557;-0.00015603
-0.00001946;0.00000577;-0.00015599
-0.00001945;0.00000599;-0.00015601
-0.00001937;0.00000611;-0.00015586
-0.00001933;0.00000606;-0.00015574
-0.00001931;0.00000599;-0.00015578
-0.00001933;0.00000601;-0.00015577
-0.00001934;0.00000611;-0.00015563
-0.00001931;0.00000625;-0.00015559
-0.00001935;0.00000639;-0.00015562
-0.00001926;0.00000645;-0.00015547
-0.00001935;0.00000623;-0.00015549
-0.00001966;0.00000599;-0.00015571
-0.00001998;0.00000582;-0.00015582
-0.00002013;0.00000585;-0.00015574
-0.00002003;0.00000614;-0.00015557
-0.00001974;0.00000677;-0.00015534
-0.00001946;0.00000741;-0.00015507
-0.00001929;0.00000784;-0.00015494
-0.00001925;0.00000804;-0.00015501
-0.00001922;0.00000798;-0.00015491
-0.00001922;0.00000779;-0.00015477
-0.00001917;0.00000770;-0.00015474
-0.00001909;0.00000770;-0.00015468
-0.00001899;0.00000778;-0.00015452
-0.00001898;0.00000788;-0.00015446
-0.00001894;0.00000788;-0.00015446
-0.00001887;0.00000784;-0.00015435
-0.00001887;0.00000778;-0.00015423
-0.00001883;0.00000781;-0.00015427
-0.00001885;0.00000793;-0.00015424
-0.00001889;0.00000798;-0.00015414
-0.00001893;0.00000805;-0.00015416
-0.00001890;0.00000806;-0.00015420
-0.00001885;0.00000801;-0.00015403
-0.00001878;0.00000801;-0.00015391
-0.00001861;0.00000804;-0.00015391
-0.00001839;0.00000812;-0.00015372
-0.00001822;0.00000818;-0.00015354
-0.00001807;0.00000817;-0.00015350
-0.00001797;0.00000814;-0.00015347
-0.00001790;0.00000817;-0.00015336
-0.00001793;0.00000840;-0.00015339
-0.00001797;0.00000868;-0.00015350
-0.00001802;0.00000892;-0.00015346
-0.00001811;0.00000905;-0.00015344
-0.00001819;0.00000906;-0.00015354
-0.00001829;0.00000896;-0.00015352
-0.00001838;0.00000886;-0.00015346
-0.00001855;0.00000882;-0.00015348
-0.00001873;0.00000882;-0.00015360
-0.00001899;0.00000873;-0.00015362
-0.00001921;0.00000861;-0.00015364
-0.00001939;0.00000849;-0.00015379
-0.00001953;0.00000845;-0.00015379
-0.00001965;0.00000837;-0.00015371
-0.00001973;0.00000824;-0.00015378
-0.00001981;0.00000802;-0.00015376
-0.00001981;0.00000779;-0.00015366
-0.00001975;0.00000759;-0.00015359
